,q88
q88,1.0
q77,0.24811210422740188
q25,0.21550785410734538
q26,0.1873377088310595
q98,0.17319722005466417
q27,0.17315849716278056
q8,0.11241275765151712
q78,0.10925795316472989
q82,0.1027154127369991
q30,0.09736129532761251
q58,0.09520932189936074
q24,0.08626772359359407
q76,0.08492842926005131
q95,0.08209055718355251
q36_2,0.07476784320870906
q57,0.07452311387115515
q81,0.07364270496272012
q23,0.07002714902145088
q29,0.06582842503483566
q70,0.06298780738080646
q68_3,0.0598678466003243
q94,0.05786423282219228
q2,0.05648761524375375
q66_1,0.051822526680767644
q73,0.05128473512438491
q5_5,0.04515091363469629
q93,0.040754769262266906
q87,0.04046519114061396
q74,0.03757379532201877
q79,0.03748753645816563
q71,0.03748079490146807
stratum,0.030378631118189083
q6,0.029095475856571587
q62,0.028963799435531862
q68_2,0.02677676719121018
q84,0.0244467660041991
q69,0.023447299314433005
q63,0.022544957434081647
q92,0.016783225384460285
q64_6,0.013325649626618943
q72,0.013222947719473516
weight,0.013116179533765848
q39,0.008617548868723289
q44_3,0.002561549815868303
q4,0.0005745517182943367
q36_3,-0.0018528314179743267
q19,-0.005158346380111639
q36_7,-0.012414021622668412
q37,-0.016395858854489114
q96,-0.016426877895659282
record,-0.01673908140692454
q99,-0.023181659540687384
q44_4,-0.023497167275073696
q52,-0.023885803078916988
q64_5,-0.0249574671699235
q5_4,-0.02588776863085294
q44_5,-0.028818139973387502
q36_8,-0.028861101455489896
q18,-0.030295590145630675
q64_4,-0.03332906217667887
q5_1,-0.033818767454921045
q15,-0.034382946188765535
q10,-0.03522410903051801
q44_2,-0.0354441786963906
q86,-0.03725048016167897
q64_8,-0.03795560218670357
q36_5,-0.0387606631135814
q36_4,-0.03933472130584912
q36_6,-0.03945409696918636
q5_2,-0.039618539051226205
q56,-0.04044949551642714
BMIPCT,-0.040934375604588076
q64_2,-0.041111626052257905
q64_3,-0.04117547059394044
q55,-0.04144565804709752
q44_8,-0.046280135814757234
q53,-0.04635578076475004
q44_7,-0.04758484670171798
q9,-0.048481667938443114
q44_6,-0.04896178731114432
q64_7,-0.04915213580277931
q13,-0.0496994346363776
q5_3,-0.04982443615427935
q11,-0.04985802456799536
q7,-0.050926007001573924
q50,-0.052460179210176844
psu,-0.05515467337545866
q65_2,-0.061045180294427764
q54,-0.06152696116439255
q12,-0.06253855889824826
q67,-0.06450248150358792
q14,-0.06648223017528215
q38,-0.06714116406804872
q16,-0.06738936981309039
q51,-0.07287035397887114
q21,-0.07452394358883702
q48,-0.07784976487784155
q42,-0.07815127683956162
q22,-0.07853607559663242
q59,-0.07942326818975438
q32,-0.07945577630204473
q33,-0.08330635984768044
year,-0.08520646088650456
q91,-0.08552555821462562
q75,-0.08656140318329673
q17,-0.09340575918134933
q43,-0.09426103403437762
q40,-0.09436802385254332
q68_1,-0.09513747448058889
q35,-0.09633096926996039
q47,-0.0969047060939983
q41,-0.09990435426740657
q49,-0.10055106090245222
q61,-0.10209554162738742
q65_3,-0.1029734302693594
q46,-0.1038309337629579
q60,-0.1052416598211187
q66_2,-0.11017037627241232
q80,-0.11109332854922094
q45,-0.1136466271534625
q89,-0.11848614758755203
q1,-0.12398992903431189
q28,-0.12857916398779162
q3,-0.13399553957333518
