,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q23,q24,q25,q26,q27,q28,q35,q36_2,q36_3,q36_4,q36_5,q36_6,q36_7,q36_8,q39,q41,q44_2,q44_3,q44_4,q44_5,q44_6,q44_7,q44_8,q45,q58,q60,q64_2,q64_3,q64_4,q64_5,q64_6,q64_7,q64_8,q65_2,q65_3,q66_1,q66_2,q68_1,q68_2,q68_3,q77,q78,q79,q80,q89,q98,weight,stratum,psu,record,year,q88
0,5,1,3,2,1,1,1,1,2,1,2,1,1,1,1,7,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,7,1,7,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,4.97,111,270530,5,2015,1
1,7,2,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,4,1,7,2,1,1,1,1,1,1,2,1,2,1,2,1,1,8,8,7,7,2,1,3.93,111,270530,7,2015,3
2,6,1,4,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,5,1,3,2,1,1,1,1,1,1,1,2,2,1,1,2,1,3,3,3,7,3,1,5.01,111,270530,9,2015,2
3,4,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,7,1,7,1,2,1,1,1,1,1,2,1,2,1,1,1,2,8,8,2,2,2,2,4.02,111,270530,13,2015,4
4,5,2,3,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,6,7,4,1,4.01,111,270530,15,2015,4
5,4,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,6,5,6,2,1,5.01,111,270530,16,2015,6
6,4,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,4,4,3,2,4.02,111,270530,17,2015,4
7,4,1,2,2,2,1,2,1,2,2,2,1,1,1,3,7,1,1,1,1,1,1,1,3,4,1,1,1,2,1,1,1,7,1,7,1,1,2,1,1,1,1,2,2,1,2,1,1,1,3,3,3,7,7,2,4.97,111,270530,19,2015,3
8,4,2,2,2,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,1,7,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,5,3,1,5.01,111,270530,20,2015,2
9,4,1,2,2,1,1,1,1,2,1,1,1,2,2,1,5,1,1,1,1,1,1,1,3,4,1,1,1,1,2,1,1,4,1,3,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,4,3,5,2,1,4.97,111,270530,21,2015,2
10,7,2,4,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,8,7,1,4,1,2,1.5,201,391710,23,2015,2
11,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,2,1,2,1,1,1,2,7,6,5,1,2,2,1.73,201,391710,24,2015,5
12,7,2,4,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1.73,201,391710,25,2015,3
13,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,8,8,2,4,1,2,1.73,201,391710,26,2015,4
14,7,1,4,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,6,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,6,1,2,3,1,2.67,201,391710,27,2015,3
15,6,1,4,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,7,1,5,1,1,1,1,2,1,1,1,2,2,1,2,1,1,4,8,4,5,1,1,2.67,201,391710,28,2015,4
16,6,1,4,2,1,1,1,1,2,1,2,2,2,2,1,6,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,5,1,7,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,4,1,1,2,2.67,201,391710,29,2015,1
17,7,1,4,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,5,1,1,2,1,1,1,1,1,2,2,1,2,1,1,3,3,3,5,1,2,2.67,201,391710,30,2015,3
18,7,1,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,7,1,1,2,2,2.67,201,391710,31,2015,3
19,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,3,7,4,6,1,2,1.73,201,391710,33,2015,4
20,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,6,8,3,4,2,2,1.73,201,391710,36,2015,3
21,7,2,4,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,5,1,1,1,2,1,1,1,2,1,6,1,1,1,1,1,2,1,2,1,2,1,1,1,2,8,8,2,2,2,2,1.73,201,391710,39,2015,6
22,7,2,4,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,3,4,1,1,1,2,1,1,1,4,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,7,4,3,3,1,1.73,201,391710,41,2015,2
23,7,2,4,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,4,3,7,4,2,1.73,201,391710,43,2015,4
